gene_symbol,ANEUPLOIDY_SCORE_rho,ANEUPLOIDY_SCORE_pval,FRACTION_GENOME_ALTERED_rho,FRACTION_GENOME_ALTERED_pval,n_samples
HMGN4,0.0705290928555111,0.37097951187991784,0.08411097757878107,0.27405767878004966,171
KATNA1,0.07020943734536458,0.37315705627041207,0.11170364041524516,0.14579193228814383,171
CEP350,0.06946664870354803,0.3782472468503555,-0.009529129484443531,0.9015540968373679,171
PPP1R3D,0.06937926752655892,0.37884882571405437,-0.1336874107131848,0.08129851614376998,171
ZFP36L1,0.06927246831023887,0.3795848804338777,-0.11944711609136242,0.11968583025197657,171
ZKSCAN1,0.06922531021472092,0.379910168687095,0.10764760340775416,0.16108672323253329,171
IQGAP3,0.06873431122021058,0.38330706980719614,0.19484615813846487,0.01065604122160983,171
CEP170,0.06833494908887418,0.386083539532453,0.03254859819869703,0.6725737507809967,171
HP1BP3,0.0669325945708633,0.3959290319231317,-0.028425389652121696,0.7120841692892738,171
NUP214,0.06686601843601443,0.39640014682128,0.029717780088432698,0.6996112252943704,171
MARCHF7,0.06675505821126634,0.3971860828916947,-0.04686685318529487,0.5427212442497603,171
RBM41,0.06660803591347512,0.3982288810915316,0.04330167956757899,0.5738751169260944,171
MAP3K2,0.0665830698629068,0.3984061221785437,-0.06367152883069813,0.40804082397776215,171
PDE4DIP,0.06633340935722358,0.4001811205311406,-0.10429122824492977,0.17462661641691418,171
ZNF106,0.06524738615750153,0.40795699049563694,-0.013875497321322322,0.8570556123862456,171
LBR,0.06515029596084694,0.4086564671652309,0.11237556842081392,0.1433682719691786,171
CAD,0.06512394290746927,0.4088464471011167,0.2628412549747605,0.0005143734986465388,171
PLCB3,0.06453030570506693,0.41313977907184707,0.002954378137602314,0.9694084449539337,171
SASH1,0.06427648419095566,0.4149835230749632,-0.05612358468548343,0.4659386226645484,171
SETX,0.06386038334815029,0.4180164546149777,-0.21676879591094927,0.004402684052307364,171
GAB3,0.06383403029477261,0.4182089747618523,-0.5341424473459858,5.3283299345628545e-14,171
SUPT6H,0.0636059564583936,0.419877309718128,-0.2077907116976249,0.006389024768636994,171
PLIN1,0.06342560190534288,0.42119932254724496,-0.2035114161223704,0.007591089518316531,171
PRKAG2,0.0633874153901615,0.4214795427207298,0.07968781031021806,0.3001746784336257,171
NKAP,0.06337493236487735,0.42157116911003817,0.1026484404015595,0.18155285594597462,171
SYTL4,0.063322226258122,0.42195816366135674,-0.09228531708867016,0.22994544194181,171
STX7,0.06328200317665082,0.4222536403688926,-0.1384513754598465,0.07093164503587754,171
KRT8,0.06313086360417654,0.4233649771373384,0.1565569354128392,0.04086879987855011,171
LAG3,0.06308366177491358,0.423712401745724,-0.4023102229044229,4.9095077121303964e-08,171
IQGAP2,0.06305176071029851,0.42394730006765136,-0.3763280151727555,3.9206683253127107e-07,171
ALKBH5,0.06278823017652177,0.4258906486786642,0.026434604383932324,0.731446593273184,171
SNX2,0.06236658132247899,0.42901069381109547,-0.3103549033737709,3.609896350147349e-05,171
TAOK1,0.06229168317077403,0.429566286002487,-0.03193536367831453,0.6783967853627211,171
N4BP1,0.06229168317077403,0.429566286002487,-0.35418457903417894,2.008458746007603e-06,171
